Feature,Source,Legitimate network feature?,Potential leakage?,Reason
IPv,CICIoT2023 Feature Schema,Yes,No,"Protocol flag / application binary indicator. Legitimate network protocol feature in raw CICIoT2023, but in current synthetic data it exhibits artificial Gaussian shift per class."
LLC,CICIoT2023 Feature Schema,Yes,No,"Protocol flag / application binary indicator. Legitimate network protocol feature in raw CICIoT2023, but in current synthetic data it exhibits artificial Gaussian shift per class."
Tot sum,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Min,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Max,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
AVG,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Std,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Tot size,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
IAT,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Number,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Magnitue,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Radius,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Covariance,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Variance,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
Weight,CICIoT2023 Feature Schema,Yes,No,Packet size / aggregate statistical measure. Standard flow summary statistic.
