Subclass,Filename,Expected Columns Count,Actual Columns Count,All 46 Features Present,Label Present,Missing Features,Extra Columns,Row Count
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation5.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,21977
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22144
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation7.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22253
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation8.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22469
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation9.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,25880
DDoS-HTTP_Flood,DDoS-HTTP_Flood-.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,28790
DDoS-ICMP_Flood,DDoS-ICMP_Flood.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268010
DDoS-ICMP_Flood,DDoS-ICMP_Flood1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268903
DDoS-ICMP_Flood,DDoS-ICMP_Flood10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268527
DDoS-ICMP_Flood,DDoS-ICMP_Flood11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268373
DDoS-ICMP_Flood,DDoS-ICMP_Flood12.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268218
DDoS-ICMP_Flood,DDoS-ICMP_Flood13.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266839
DDoS-ICMP_Flood,DDoS-ICMP_Flood14.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266548
DDoS-ICMP_Flood,DDoS-ICMP_Flood15.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,263840
DDoS-ICMP_Flood,DDoS-ICMP_Flood16.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,249338
DDoS-ICMP_Flood,DDoS-ICMP_Flood17.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267895
DDoS-ICMP_Flood,DDoS-ICMP_Flood18.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,269201
DDoS-ICMP_Flood,DDoS-ICMP_Flood19.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268311
DDoS-ICMP_Flood,DDoS-ICMP_Flood2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,264070
DDoS-ICMP_Flood,DDoS-ICMP_Flood20.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265195
DDoS-ICMP_Flood,DDoS-ICMP_Flood21.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268530
DDoS-ICMP_Flood,DDoS-ICMP_Flood22.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266941
DDoS-ICMP_Flood,DDoS-ICMP_Flood23.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268450
DDoS-ICMP_Flood,DDoS-ICMP_Flood25.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266632
DDoS-ICMP_Flood,DDoS-ICMP_Flood26.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268424
DDoS-ICMP_Flood,DDoS-ICMP_Flood3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,261484
DDoS-ICMP_Flood,DDoS-ICMP_Flood4.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267814
DDoS-ICMP_Flood,DDoS-ICMP_Flood5.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268142
DDoS-ICMP_Flood,DDoS-ICMP_Flood6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268788
DDoS-ICMP_Flood,DDoS-ICMP_Flood7.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268462
DDoS-ICMP_Flood,DDoS-ICMP_Flood8.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267907
DDoS-ICMP_Flood,DDoS-ICMP_Flood9.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268154
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,20696
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22527
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22742
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22529
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation12.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22931
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation13.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22574
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation14.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22717
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation15.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22276
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation16.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,23046
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation17.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,25135
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation18.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22521
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation19.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,19866
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22617
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,23381
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation4.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,23567
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation5.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22421
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22335
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation7.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22783
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation8.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22537
DDoS-ICMP_Fragmentation,DDoS-ICMP_Fragmentation9.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,23289
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,269067
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265553
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267192
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood12.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266453
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood13.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268539
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood15.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,78907
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268128
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268033
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood4.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268329
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268242
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood8.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268783
DDoS-PSHACK_FLOOD,DDoS-PSHACK_Flood9.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265956
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266934
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265364
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268564
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265702
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood13.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268730
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood14.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268668
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265781
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265518
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,242421
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood7.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265297
DDoS-RSTFINFLOOD,DDoS-RSTFINFlood9.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267317
DDoS-SlowLoris,DDoS-SlowLoris.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,23426
DDoS-SYN_Flood,DDoS-SYN_Flood.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266024
DDoS-SYN_Flood,DDoS-SYN_Flood1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267197
DDoS-SYN_Flood,DDoS-SYN_Flood10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267692
DDoS-SYN_Flood,DDoS-SYN_Flood11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266507
DDoS-SYN_Flood,DDoS-SYN_Flood12.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268242
DDoS-SYN_Flood,DDoS-SYN_Flood13.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268015
DDoS-SYN_Flood,DDoS-SYN_Flood14.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,264392
DDoS-SYN_Flood,DDoS-SYN_Flood15.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,137254
DDoS-SYN_Flood,DDoS-SYN_Flood2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268427
DDoS-SYN_Flood,DDoS-SYN_Flood3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268354
DDoS-SYN_Flood,DDoS-SYN_Flood6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267846
DDoS-SYN_Flood,DDoS-SYN_Flood7.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265072
DDoS-SYN_Flood,DDoS-SYN_Flood8.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,260194
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268626
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265192
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268395
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood12.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267995
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood13.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,127048
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268216
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268323
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,262517
DDoS-SynonymousIP_Flood,DDoS-SynonymousIP_Flood9.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,264339
DDoS-TCP_Flood,DDoS-TCP_Flood.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265776
DDoS-TCP_Flood,DDoS-TCP_Flood10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,264404
DDoS-TCP_Flood,DDoS-TCP_Flood11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,260145
DDoS-TCP_Flood,DDoS-TCP_Flood12.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267983
DDoS-TCP_Flood,DDoS-TCP_Flood14.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,265920
DDoS-TCP_Flood,DDoS-TCP_Flood15.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267289
DDoS-TCP_Flood,DDoS-TCP_Flood16.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267718
DDoS-TCP_Flood,DDoS-TCP_Flood2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268248
DDoS-TCP_Flood,DDoS-TCP_Flood3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267384
DDoS-TCP_Flood,DDoS-TCP_Flood4.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,196253
DDoS-TCP_Flood,DDoS-TCP_Flood6.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,262386
DDoS-TCP_Flood,DDoS-TCP_Flood7.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267755
DDoS-TCP_Flood,DDoS-TCP_Flood9.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,264469
DDoS-UDP_Flood,DDoS-UDP_Flood.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266605
DDoS-UDP_Flood,DDoS-UDP_Flood1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266848
DDoS-UDP_Flood,DDoS-UDP_Flood10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,261898
DDoS-UDP_Flood,DDoS-UDP_Flood13.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267714
DDoS-UDP_Flood,DDoS-UDP_Flood14.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,268391
DDoS-UDP_Flood,DDoS-UDP_Flood15.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266491
DDoS-UDP_Flood,DDoS-UDP_Flood16.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267262
DDoS-UDP_Flood,DDoS-UDP_Flood17.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,266050
DDoS-UDP_Flood,DDoS-UDP_Flood19.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,267985
